Method,RR,Hit@5,Precision@5,Recall@5,Hit@10,Precision@10,Recall@10,query_id
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_43
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_44
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_45
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_46
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_47
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_48
BM25,0.2,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_49
BM25,0.16666666666666666,0.0,0.0,0.0,1.0,0.1,1.0,auto_q_50
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_51
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_52
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_53
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_54
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_55
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_56
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_57
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_58
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_59
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_60
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_61
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_62
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_63
BM25,0.3333333333333333,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_64
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_65
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_66
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_67
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_68
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_69
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_70
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_71
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_72
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_73
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_74
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_75
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_76
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_77
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_78
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_79
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_80
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_81
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_82
BM25,0.25,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_83
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_84
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_85
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_86
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_87
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_88
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_89
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_90
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_91
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_92
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_93
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_94
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_95
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_96
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_97
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_98
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_99
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_100
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_101
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_102
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_103
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_104
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_105
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_106
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_107
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_108
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_109
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_110
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_111
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_112
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_113
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_114
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_115
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_116
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_117
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_118
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_119
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_120
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_121
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_122
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_123
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_124
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_125
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_126
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_127
BM25,0.25,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_128
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_129
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_130
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_131
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_132
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_133
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_134
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_135
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_136
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_137
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_138
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_139
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_140
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_141
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_142
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_143
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_144
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_145
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_146
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_147
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_148
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_149
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_150
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_151
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_152
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_153
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_154
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_155
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_156
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_157
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_158
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_159
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_160
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_161
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_162
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_163
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_164
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_165
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_166
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_167
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_168
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_169
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_170
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_171
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_172
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_173
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_174
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_175
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_176
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_177
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_178
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_179
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_180
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_181
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_182
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_183
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_184
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_185
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_186
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_187
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_188
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_189
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_190
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_191
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_192
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_193
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_194
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_195
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_196
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_197
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_198
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_199
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_200
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_201
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_202
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_203
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_204
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_205
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_206
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_207
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_208
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_209
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_210
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_211
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_212
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_213
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_214
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_215
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_216
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_217
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_218
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_219
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_220
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_221
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_222
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_223
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_224
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_225
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_226
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_227
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_228
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_229
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_230
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_231
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_232
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_233
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_234
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_235
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_236
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_237
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_238
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_239
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_240
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_241
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_242
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_243
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_244
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_245
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_246
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_247
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_248
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_249
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_250
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_251
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_252
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_253
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_254
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_255
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_256
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_257
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_258
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_259
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_260
BM25,0.3333333333333333,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_261
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_262
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_263
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_264
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_265
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_266
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_267
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_268
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_269
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_270
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_271
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_272
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_273
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_274
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_275
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_276
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_277
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_278
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_279
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_280
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_281
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_282
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_283
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_284
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_285
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_286
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_287
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_288
BM25,0.3333333333333333,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_289
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_290
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_291
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_292
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_293
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_294
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_295
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_296
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_297
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_298
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_299
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_300
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_301
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_302
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_303
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_304
BM25,0.3333333333333333,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_305
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_306
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_307
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_308
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_309
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_310
BM25,0.3333333333333333,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_311
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_312
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_313
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_314
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_315
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_316
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_317
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_318
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_319
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_320
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_321
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_322
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_323
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_324
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_325
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_326
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_327
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_328
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_329
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_330
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_331
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_332
BM25,0.3333333333333333,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_333
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_334
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_335
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_336
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_337
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_338
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_339
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_340
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_341
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_342
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_343
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_344
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_345
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_346
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_347
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_348
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_349
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_350
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_351
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_352
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_353
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_354
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_355
